Verse,Start Time,End Time
[Music],0:00,0:04
Ooh-ooh-ooh,0:04,0:09
Woo,0:10,0:11
Oh... yeah-yeah,0:12,0:16
Listen,0:16,0:17
Bright lights... fancy restaurants...,0:17,0:21
Everything in this world that a man could want...,0:21,0:26
Got a bank account bigger than the law should allow...,0:26,0:30
Still I'm lonely now...,0:30,0:34
Pretty faces from the covers of the magazines...,0:34,0:38
From their covers to my covers wanna lay with me...,0:38,0:42
Fame and fortune still can't find...,0:42,0:45 
Just a grown man runnin' out of time...,0:45,0:48
Even though it seems I have everything...,0:48,0:52
I don't wanna be a lonely fool...,0:52,0:56
All of the women...,0:56,0:58
All the expensive cars...,0:58,1:01 
All of the money don't amount to you...,1:01,1:03
So I can make believe I have everything...,1:03,1:08
But I can't pretend that I don't see...,1:08,1:13
That without you girl my life is incomplete...,1:13,1:20
Said without you girl...,1:20,1:23
Your perfume...,1:25,1:27
Your sexy lingerie...,1:27,1:29
Girl I remember it just like it was on yesterday...,1:29,1:33
A Thursday you told me you had fallen in love...,1:33,1:39
I wasn't sure that I was...,1:39,1:41
It's been a year... winter... summer... spring and fall...,1:41,1:45
But bein' without you just ain't livin'... ain't nothing at all...,1:45,1:50
If I could travel back in time...,1:50,1:52
I'd relive the days you were mine...,1:52,1:55
Even though it seems I have everything...,1:56,2:01
I don't wanna be a lonely fool...,2:01,2:04
All of the women...,2:04,2:06
All the expensive cars...,2:06,2:09 
All of the money don't amount to you...,2:09,2:11
I can make believe I have everything...,2:12,2:17
But I can't pretend that I don't see...,2:17,2:20
That without you girl my life is incomplete...,2:21,2:27
Oh yeah...2:27,2:29
that without you girl...,2:29,2:32
I just can't help lovin' you...,2:33,2:37
But I loved you much too late...,2:37,2:41
I'd give anything...,2:41,2:43 
and everything...,2:43,2:45
To hear you say that you'll stay...,2:45,2:49
Even though it seems I have everything...,2:49,2:53
I don't wanna be a lonely fool...,2:53,2:56
All of the women...,2:56,2:59
All the expensive cars...,2:59,3:01 
All of the money don't amount to you...,3:01,3:04
I can make believe I have everything...,3:04,3:09
But I can't pretend that I don't see...,3:09,3:13
That without you girl my life is incomplete...,3:13,3:20
Even though it seems I have everything...,3:21,3:25
I don't wanna be a lonely fool...,3:25,3:28
All of the women...,3:28,3:31
All the expensive cars...,3:31,3:33
All of the money don't amount to you...,3:33,3:37
I can make believe I have everything...,3:37,3:40
But I can't pretend that I don't see...,3:40,3:45
That without you girl my life is incomplete...,3:45,3:51
Without you girl my life... my life is incomplete...,3:54,4:01
Without you girl my life is incomplete...,4:02,4:12
Oh yeah...,4:12,4:14,
My life is incomplete...,4:14,4:23
Oh yeah... yeah... yeah...,4:23,4:35
