Verse,Start Time,End Time
(Interlude),0:05,0:15
3...,0:15,0:16,
2...,0:16,0:17,
1...,0:17,0:18,
I see us in the park,0:18,0:21
Strolling the summer days of imaginings in my head,0:21,0:29
And words from our hearts,0:29,0:32
Told only to the wind... felt even without being said,0:32,0:40
'Cause I don't want to bore you with my trouble,0:40,0:50
But there's somethin' 'bout your love...,0:50,0:54
That makes me weak and,0:54,0:57
Knocks me off my feet,0:57,1:01
But there's somethin' 'bout your love...,1:01,1:04
That makes me weak and,1:04,1:08
Knocks me off...,1:08,1:11 
my feet,1:11,1:13
Knocks me off my feet,1:13,1:16
I don't want to bore you with it,1:16,1:23
Oh... but I love you... I love you... I love you,1:23,1:27
I don't want to bore you with it,1:27,1:33
Oh... but I love you... I love you... I love you more and more,1:33,1:42
We lay beneath the stars,1:42,1:47
Under a lovers' tree that's seen through the eyes of my mind,1:47,1:53
And I reach out for the part of me that lives in you that only our two hearts can find,1:53,2:04
But I don't want to bore you with my trouble,2:04,2:14
But there's somethin' 'bout your love,2:15,2:19
That makes me weak and...,2:19,2:22
Knocks me off my feet,2:22,2:25
But there's somethin' 'bout your love...,2:25,2:29
That makes me weak and...,2:29,2:32 
Knocks me off...,2:32,2:34 
my feet,2:34,2:38
Knocks me off my feet,2:38,2:42
I don't want to bore you with it,2:42,2:47
Oh... but I love you... I love you... I love you,2:47,2:52
I don't want to bore you with it,2:52,2:58
Oh... but I love you... I love you... I love you,2:58,3:02
I don't want to bore you with it,3:02,3:08
Oh... but I love you... I love you... I love you,3:08,3:13
Darling I don't want to bore you with it,3:13,3:18
Oh... but I love you... I love you... I love you,3:18,3:23
I don't want to bore you with it,3:23,3:29
Oh... but I love you... I love you... I love you,3:29,3:33
(...),3:33,3:36
