Title,Artist,Album,Genre,Year,Duration,FilePath
Lead Me Lord,Gary Valenciano,Lead Me Lord,Christian,1999,4:27,music/lead_me_lord.mp3
Never Gonna Give You Up,Rick Astley,Never Gonna Give You Up,Pop,1989,3:33,music/never_gonna_give_you_up.mp3
Lifetime (Reimagined),Ben&Ben,Lifetime (Reimagined),Pop,2026,4:37,music/lifetime.mp3
Rude,MAGIC!,Rude (Single),Reggae,2016,3:45,music/rude.mp3
Breakin' My Heart (Pretty Brown Eyes),Mint Condition,Meant to Be Mint,R&B,1991,4:16,music/breakin_my_heart.mp3
Alipin,Sham Rock,Why So Serious?,Rock,2005,4:24,music/alipin.mp3
Human Nature,Michael Jackson,Thriller,Pop,1983,4:06,music/human_nature.mp3
Incomplete,Sisqo,Unleash The Dragon,Pop,1999,4:35,music\incomplete.mp3
Wannabe,ITZY,Wannabe,Kpop,2022,3:11,music/wannabe.mp3
On Bended Knee,Boyz II Men,II,Pop,1998,5:52,music/on_bended_knee.mp3
Shape of my Heart,Backstreet Boys,Black & Blue,Pop,2000,3:48,music/shape_of_my_heart.mp3
Knocks Me Off My Feet,Stevie Wonder,At The Close of the Century,Pop,1999,3:36,music/knocks_me_off_my_feet.mp3
Man On The Lakers,LeBron James,Man On The Lakers,LeBron,2025,2:42,music/man_on_the_lakers.mp3
This Time,Freestyle,This Time,Pop,2000,4:45,music/this_time.mp3
